ENTREZID,SYMBOL,GENENAME,logFC,AveExpr,t,P.Value,adj.P.Val,interest
64297,Gprc5b,"G protein-coupled receptor, family C, group 5, member B",-2.497973723,5.85501664,-14.86704305,9.93E-10,2.96E-07,
11676,Aldoc,"aldolase C, fructose-bisphosphate",-2.601254758,6.047569334,-14.68115581,1.16E-09,3.41E-07,
20512,Slc1a3,"solute carrier family 1 (glial high affinity glutamate transporter), member 3",-4.139114287,2.4313393,-14.63276284,1.24E-09,3.55E-07,
209588,Sectm1a,secreted and transmembrane 1A,-2.323053375,4.149789436,-14.57909301,1.26E-09,3.55E-07,
57776,Ttyh1,tweety family member 1,-4.549460431,0.036787034,-14.44282314,1.47E-09,4.07E-07,
104112,Acly,ATP citrate lyase,-2.444680601,8.628371746,-14.24994083,1.66E-09,4.51E-07,
76574,Mfsd2a,major facilitator superfamily domain containing 2A,-2.131521047,6.504287704,-14.15343377,1.80E-09,4.70E-07,
380714,Rph3al,rabphilin 3A-like (without C2 domains),-2.688118953,2.755375149,-14.14694785,1.81E-09,4.70E-07,
74051,Steap2,six transmembrane epithelial antigen of prostate 2,-3.241121603,4.591419865,-14.14747689,1.82E-09,4.70E-07,
12778,Ackr3,atypical chemokine receptor 3,-3.029848281,6.373099254,-14.13213057,1.84E-09,4.70E-07,
17829,Muc1,"mucin 1, transmembrane",-2.768318048,5.343431982,-14.56622233,1.95E-09,4.90E-07,
16168,Il15,interleukin 15,-3.205936799,2.005315495,-14.03015761,2.02E-09,4.98E-07,
22169,Cmpk2,"cytidine monophosphate (UMP-CMP) kinase 2, mitochondrial",-3.071346424,2.477319162,-13.87608122,2.30E-09,5.58E-07,
71310,Tbc1d9,"TBC1 domain family, member 9",2.239630775,6.304981739,13.77228674,2.49E-09,5.90E-07,
20677,Sox4,SRY (sex determining region Y)-box 4,2.398204871,7.469328346,13.7706909,2.50E-09,5.90E-07,
13491,Drd4,dopamine receptor D4,-3.286373272,0.296634822,-13.73737112,2.60E-09,6.04E-07,
73166,Tm7sf2,transmembrane 7 superfamily member 2,-2.663433302,2.95688108,-13.63084602,2.83E-09,6.44E-07,
224617,Tbc1d24,"TBC1 domain family, member 24",-2.175297747,4.46829455,-13.61812386,2.85E-09,6.44E-07,
12739,Cldn3,claudin 3,2.261329416,5.191986184,13.54386922,3.05E-09,6.78E-07,
192166,Sardh,sarcosine dehydrogenase,-2.178873849,4.788878295,-13.50557993,3.15E-09,6.92E-07,
243362,Stard13,StAR-related lipid transfer (START) domain containing 13,-3.661925069,2.937698948,-13.40047831,3.53E-09,7.60E-07,
14667,Gm2a,GM2 ganglioside activator protein,-1.8879485,6.813449742,-13.36782104,3.56E-09,7.60E-07,
12613,Cel,carboxyl ester lipase,-2.40593525,6.051137779,-13.33875894,3.66E-09,7.72E-07,
140474,Muc4,mucin 4,2.501116707,3.258650525,13.19641578,4.17E-09,8.61E-07,
23794,Adamts5,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 5 (aggrecanase-2)",-3.861261008,3.771541977,-14.34196652,4.19E-09,8.61E-07,
22051,Trip6,thyroid hormone receptor interactor 6,2.336559043,5.664051556,13.16800437,4.27E-09,8.65E-07,
74127,Krt80,keratin 80,4.251458105,3.730964014,13.17397269,4.39E-09,8.78E-07,
56349,Net1,neuroepithelial cell transforming gene 1,-2.083912059,5.649204993,-13.08526297,4.60E-09,9.08E-07,
53381,Prdx4,peroxiredoxin 4,-1.882595772,6.111984589,-12.96503969,5.13E-09,9.95E-07,
12390,Cav2,caveolin 2,-2.418072049,7.089524459,-13.08315303,5.17E-09,9.95E-07,
100710,Pds5b,PDS5 cohesin associated factor B,-1.936330094,5.772573361,-12.94085791,5.25E-09,9.99E-07,
66427,Cyb5b,cytochrome b5 type B,-1.825060081,6.601006581,-12.90577309,5.42E-09,1.02E-06,
17131,Smad7,SMAD family member 7,3.089564381,6.71751902,12.92259,5.66E-09,1.05E-06,
14663,Glycam1,glycosylation dependent cell adhesion molecule 1,-2.795371037,9.421398511,-13.11329633,5.94E-09,1.09E-06,
109154,Mlec,malectin,-1.820389566,7.437454788,-12.76369247,6.18E-09,1.12E-06,
110454,Ly6a,"lymphocyte antigen 6 complex, locus A",-3.07972397,4.426130146,-13.08621597,6.25E-09,1.12E-06,
97998,Deptor,DEP domain containing MTOR-interacting protein,-2.859594814,3.948399501,-12.72658508,6.44E-09,1.14E-06,
22781,Ikzf4,IKAROS family zinc finger 4,-2.387444023,5.534911541,-12.68978404,6.64E-09,1.16E-06,
24059,Slco2a1,"solute carrier organic anion transporter family, member 2a1",-3.545396303,7.255838644,-14.16502381,6.69E-09,1.16E-06,
69051,Pycr2,"pyrroline-5-carboxylate reductase family, member 2",-2.410464566,3.560476554,-12.65959801,6.83E-09,1.17E-06,
14711,Gnmt,glycine N-methyltransferase,-2.546060608,2.458444474,-12.65399179,6.87E-09,1.17E-06,
13875,Erf,Ets2 repressor factor,2.104815319,7.191082329,12.61619463,7.10E-09,1.19E-06,
73246,Rassf6,Ras association (RalGDS/AF-6) domain family member 6,-2.37639226,2.63281327,-12.38629107,8.84E-09,1.42E-06,
18030,Nfil3,"nuclear factor, interleukin 3, regulated",-2.081997179,6.508065426,-12.38399552,8.85E-09,1.42E-06,
56738,Mocs1,molybdenum cofactor synthesis 1,-1.754299098,4.985057192,-12.37851806,8.89E-09,1.42E-06,
21912,Tspan7,tetraspanin 7,-2.269677889,5.071095487,-12.37515321,8.93E-09,1.42E-06,
80290,Gpr146,G protein-coupled receptor 146,-2.988856186,3.779416368,-12.3807945,8.94E-09,1.42E-06,
14696,Gnb4,"guanine nucleotide binding protein (G protein), beta 4",-3.072479254,2.264423454,-12.59638486,9.01E-09,1.42E-06,
110196,Fdps,farnesyl diphosphate synthetase,-2.653746927,4.413823265,-12.36610085,9.18E-09,1.44E-06,
93734,Mpv17l,"Mpv17 transgene, kidney disease mutant-like",-3.203020776,1.448677433,-12.32743383,9.44E-09,1.46E-06,
69179,Tmem110,transmembrane protein 110,-1.81705389,4.67379838,-12.30817441,9.51E-09,1.46E-06,
76267,Fads1,fatty acid desaturase 1,-2.058884114,8.357848348,-12.28187369,9.76E-09,1.48E-06,
70377,Derl3,"Der1-like domain family, member 3",-3.384688128,1.36483369,-12.28743238,9.85E-09,1.48E-06,
72315,Ccdc74a,coiled-coil domain containing 74A,-3.103966722,1.162051653,-12.2666019,1.00E-08,1.49E-06,
207521,Dtx4,"deltex 4, E3 ubiquitin ligase",4.682376356,3.05838305,12.29776986,1.01E-08,1.49E-06,
107747,Aldh1l1,"aldehyde dehydrogenase 1 family, member L1",-4.201002713,1.826463063,-12.26915496,1.02E-08,1.50E-06,
68337,Crip2,cysteine rich protein 2,2.054345807,7.064406808,12.22312273,1.03E-08,1.50E-06,
14104,Fasn,fatty acid synthase,-2.451148196,9.392254734,-12.29343637,1.06E-08,1.52E-06,
72080,Sapcd2,suppressor APC domain containing 2,-3.353946425,1.520696938,-12.18391986,1.09E-08,1.54E-06,
226999,Slc9a2,"solute carrier family 9 (sodium/hydrogen exchanger), member 2",-3.416755308,0.357892982,-12.18236248,1.09E-08,1.54E-06,
171210,Acot2,acyl-CoA thioesterase 2,2.715439464,5.043895554,12.48893812,1.12E-08,1.57E-06,
57444,Isg20,interferon-stimulated protein,-2.607940416,4.014369134,-12.22375339,1.15E-08,1.58E-06,
21808,Tgfb2,"transforming growth factor, beta 2",2.256501574,5.331128495,12.11024651,1.15E-08,1.58E-06,
100041678,Gm3500,predicted gene 3500,-4.876956712,2.805492714,-12.14026973,1.18E-08,1.61E-06,
19729,Slc50a1,"solute carrier family 50 (sugar transporter), member 1",-1.944000989,5.446046216,-12.07466839,1.19E-08,1.61E-06,
21982,Tmem165,transmembrane protein 165,-1.944235612,6.208692511,-12.05328996,1.22E-08,1.63E-06,
16987,Lss,lanosterol synthase,-2.446559319,4.553058588,-11.96906268,1.33E-08,1.76E-06,
11988,Slc7a2,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 2",-2.617512959,6.019240056,-12.01623069,1.39E-08,1.83E-06,
12048,Bcl2l1,BCL2-like 1,2.492467222,5.899516197,12.14767984,1.42E-08,1.85E-06,
19419,Rasgrp1,RAS guanyl releasing protein 1,-3.865112922,-0.50504843,-11.88596697,1.47E-08,1.91E-06,
17436,Me1,"malic enzyme 1, NADP(+)-dependent, cytosolic",-2.117774663,5.774150858,-11.85080321,1.49E-08,1.91E-06,
56078,Car5b,"carbonic anhydrase 5b, mitochondrial",-2.122927243,3.717925655,-11.81337009,1.54E-08,1.97E-06,
52665,Echdc1,enoyl Coenzyme A hydratase domain containing 1,-2.18645857,2.889357283,-11.80290012,1.56E-08,1.97E-06,
78894,Aacs,acetoacetyl-CoA synthetase,-2.379042054,6.04367853,-12.07175324,1.58E-08,1.98E-06,
21847,Klf10,Kruppel-like factor 10,1.977387816,7.887080303,11.76665133,1.62E-08,2.01E-06,
225908,Myrf,myelin regulatory factor,-2.348898568,0.718520086,-11.68310076,1.76E-08,2.17E-06,
116873,Stim2,stromal interaction molecule 2,-1.780338799,5.048024899,-11.64302437,1.83E-08,2.24E-06,
74016,Phf19,PHD finger protein 19,-3.420689934,2.256803315,-11.62212795,1.90E-08,2.31E-06,
544998,Gm16440,predicted gene 16440,-6.858797182,-1.321828306,-11.69436081,1.97E-08,2.38E-06,
228607,Mavs,mitochondrial antiviral signaling protein,-2.498452366,3.858974981,-11.55941265,2.00E-08,2.39E-06,
20775,Sqle,squalene epoxidase,-2.227742301,6.481622159,-11.57702087,2.01E-08,2.39E-06,
20250,Scd2,stearoyl-Coenzyme A desaturase 2,-4.625785172,6.87522711,-14.78411432,2.08E-08,2.46E-06,
17295,Met,met proto-oncogene,2.246659259,6.225510878,11.48093632,2.16E-08,2.53E-06,
67603,Dusp6,dual specificity phosphatase 6,2.261312712,7.989138935,11.4713278,2.18E-08,2.53E-06,
235339,Dlat,dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex),-1.730303046,6.255379583,-11.46374233,2.19E-08,2.53E-06,
30057,Timm8b,translocase of inner mitochondrial membrane 8B,-1.867971597,4.249474188,-11.43882473,2.25E-08,2.58E-06,
66277,Klf15,Kruppel-like factor 15,-3.131897535,1.274756824,-11.43585166,2.28E-08,2.59E-06,
19330,Rab18,"RAB18, member RAS oncogene family",-2.19467709,7.936540233,-11.48203448,2.35E-08,2.62E-06,
19270,Ptprg,"protein tyrosine phosphatase, receptor type, G",2.349475886,6.553564646,11.3989668,2.35E-08,2.62E-06,
56745,C1qtnf1,C1q and tumor necrosis factor related protein 1,4.820202987,4.00558599,12.27611826,2.36E-08,2.62E-06,
140481,Man2a2,"mannosidase 2, alpha 2",-1.789308098,6.492040725,-11.37145636,2.41E-08,2.67E-06,
54648,Ccdc120,coiled-coil domain containing 120,2.076748871,5.089794621,11.34995242,2.47E-08,2.71E-06,
12550,Cdh1,cadherin 1,2.097280384,8.1143034,11.3247496,2.53E-08,2.76E-06,
67213,Cmtm6,CKLF-like MARVEL transmembrane domain containing 6,-1.729390278,7.700042475,-11.28854811,2.63E-08,2.84E-06,
432466,Gm5424,argininosuccinate synthase pseudogene,-1.72283947,3.516677903,-11.27762083,2.66E-08,2.86E-06,
18074,Nid2,nidogen 2,-4.829703278,1.629147697,-11.30805184,2.72E-08,2.90E-06,
13010,Cst3,cystatin C,-2.697169779,6.433917443,-12.2355221,2.73E-08,2.90E-06,
100041649,Mpc1-ps,"mitochondrial pyruvate carrier 1, pseudogene",-1.649220538,4.546321192,-11.21272312,2.84E-08,2.99E-06,
12351,Car4,carbonic anhydrase 4,-6.222510285,0.804722329,-13.12490735,2.87E-08,3.01E-06,
80281,Cttnbp2nl,CTTNBP2 N-terminal like,2.816665921,6.123078666,11.36348656,2.94E-08,3.05E-06,
30049,Scd3,stearoyl-coenzyme A desaturase 3,-2.604468641,0.284279378,-11.17848731,2.96E-08,3.05E-06,
17449,Mdh1,"malate dehydrogenase 1, NAD (soluble)",-1.645573038,7.480997549,-11.16424984,2.99E-08,3.07E-06,
68312,Gstm7,"glutathione S-transferase, mu 7",-3.592327279,1.352950931,-11.11448249,3.21E-08,3.28E-06,
237988,Cdr2l,cerebellar degeneration-related protein 2-like,-2.369004322,4.873226012,-11.05956003,3.34E-08,3.39E-06,
100038571,Gm12863,predicted gene 12863,-3.35471598,-1.05913869,-11.04705605,3.43E-08,3.45E-06,
18003,Nedd9,"neural precursor cell expressed, developmentally down-regulated gene 9",1.87750738,7.477672643,11.02098328,3.47E-08,3.47E-06,
211347,Pank3,pantothenate kinase 3,-1.619044772,7.066436739,-11.01373852,3.50E-08,3.48E-06,
214791,Sertad4,SERTA domain containing 4,2.807027324,5.193066141,11.00605804,3.55E-08,3.51E-06,
74754,Dhcr24,24-dehydrocholesterol reductase,-2.138601294,5.442624861,-10.88543493,4.01E-08,3.94E-06,
104174,Gldc,glycine decarboxylase,-2.2274993,2.763814469,-11.15790539,4.04E-08,3.94E-06,
114774,Pawr,"PRKC, apoptosis, WT1, regulator",2.244986639,6.32927677,10.87362657,4.07E-08,3.94E-06,
73635,Ptges3l,prostaglandin E synthase 3 like,-3.292384955,2.00135175,-10.87352911,4.12E-08,3.97E-06,
100470,Lao1,L-amino acid oxidase 1,-4.454661248,6.044654117,-13.68222089,4.35E-08,4.17E-06,
71893,Noxo1,NADPH oxidase organizer 1,2.391434296,4.014378298,10.79721518,4.42E-08,4.21E-06,
104009,Qsox1,quiescin Q6 sulfhydryl oxidase 1,-2.33590661,6.866783278,-11.25491053,4.62E-08,4.37E-06,
56473,Fads2,fatty acid desaturase 2,-1.87587593,6.799388444,-10.74529237,4.66E-08,4.38E-06,
269582,Clspn,claspin,-2.191912593,3.214889525,-10.74141651,4.68E-08,4.38E-06,
54352,Irx5,Iroquois homeobox 5,1.752334763,5.435271402,10.7225933,4.77E-08,4.44E-06,
14676,Gna15,"guanine nucleotide binding protein, alpha 15",-4.323627251,1.624626868,-10.75020594,4.82E-08,4.46E-06,
18406,Orm2,orosomucoid 2,-4.852071753,-0.422933845,-10.72971829,5.02E-08,4.58E-06,
67168,Lpar6,lysophosphatidic acid receptor 6,-1.908704241,4.918604648,-10.67308981,5.04E-08,4.58E-06,
320165,Tacc1,"transforming, acidic coiled-coil containing protein 1",-2.498463276,5.909669533,-10.67441974,5.05E-08,4.58E-06,
14219,Ctgf,connective tissue growth factor,6.960332967,7.834822422,13.15063221,5.41E-08,4.89E-06,
223697,Sun2,Sad1 and UNC84 domain containing 2,1.744093729,7.428591359,10.55526292,5.73E-08,5.14E-06,
217944,Rapgef5,Rap guanine nucleotide exchange factor (GEF) 5,-1.699575494,4.656533041,-10.54244952,5.81E-08,5.18E-06,
14063,F2rl1,coagulation factor II (thrombin) receptor-like 1,2.73694236,5.033334422,10.51898078,5.99E-08,5.32E-06,
66286,Sec11c,"SEC11 homolog C, signal peptidase complex subunit",-1.490319526,5.108230714,-10.47452111,6.25E-08,5.52E-06,
225875,Lrfn4,leucine rich repeat and fibronectin type III domain containing 4,2.621299801,5.538371787,10.47164274,6.30E-08,5.53E-06,
21990,Tph1,tryptophan hydroxylase 1,-2.595679381,2.139073804,-10.9899932,6.37E-08,5.56E-06,
620695,Gm13889,predicted gene 13889,3.474985548,5.464473248,11.33489446,6.61E-08,5.73E-06,
75761,Apol7a,apolipoprotein L 7a,-2.426698622,1.158669092,-10.42171754,6.65E-08,5.73E-06,
27279,Tnfrsf12a,"tumor necrosis factor receptor superfamily, member 12a",1.880972409,8.411535262,10.41629889,6.67E-08,5.73E-06,
14275,Folr1,folate receptor 1 (adult),-2.561173054,4.167474349,-11.36921861,6.96E-08,5.95E-06,
26557,Homer2,homer scaffolding protein 2,-2.15183387,3.836774409,-10.33972628,7.27E-08,6.18E-06,
100529082,Gm11127,predicted gene 11127,-2.292771868,1.990719909,-10.29835758,7.62E-08,6.44E-06,
55951,Mpc1,mitochondrial pyruvate carrier 1,-1.696826333,5.219663179,-10.28956616,7.68E-08,6.45E-06,
26921,Map4k4,mitogen-activated protein kinase kinase kinase kinase 4,1.597502685,7.497067823,10.15720661,8.90E-08,7.42E-06,
21664,Phlda1,"pleckstrin homology like domain, family A, member 1",3.42025492,6.947596486,12.0146512,8.92E-08,7.42E-06,
170459,Stard4,StAR-related lipid transfer (START) domain containing 4,-2.373917672,3.708646962,-10.09828443,9.54E-08,7.89E-06,
229725,Clcc1,chloride channel CLIC-like 1,-1.653316449,4.915954366,-10.08312386,9.68E-08,7.96E-06,
74030,Rin2,Ras and Rab interactor 2,1.567954397,6.845495179,10.07927074,9.72E-08,7.96E-06,
70031,Cmtm8,CKLF-like MARVEL transmembrane domain containing 8,-1.750830663,2.934560644,-10.06653205,9.87E-08,8.04E-06,
109672,Cyb5a,cytochrome b5 type A (microsomal),-1.551709706,4.939551725,-10.04116015,1.02E-07,8.23E-06,
110095,Pygl,liver glycogen phosphorylase,-2.806330106,1.990937846,-10.02243208,1.04E-07,8.42E-06,
14085,Fah,fumarylacetoacetate hydrolase,-1.94471275,5.573643516,-10.00201733,1.06E-07,8.52E-06,
18194,Nsdhl,NAD(P) dependent steroid dehydrogenase-like,-2.126786683,4.606510665,-9.975766211,1.10E-07,8.74E-06,
216858,Kctd11,potassium channel tetramerisation domain containing 11,3.084204774,5.847624435,9.96059334,1.13E-07,8.94E-06,
20750,Spp1,secreted phosphoprotein 1,-2.331037203,9.539833308,-10.20289046,1.14E-07,9.02E-06,
104445,Cdc42ep1,CDC42 effector protein (Rho GTPase binding) 1,1.728584731,5.765828259,9.917240316,1.17E-07,9.20E-06,
21825,Thbs1,thrombospondin 1,4.094857934,10.49620183,12.40553579,1.18E-07,9.21E-06,
67711,Nsmce1,"NSE1 homolog, SMC5-SMC6 complex component",-1.975461658,4.963968983,-9.8864239,1.21E-07,9.44E-06,
225358,Fam13b,"family with sequence similarity 13, member B",1.936406896,6.666102663,9.878692625,1.22E-07,9.48E-06,
18563,Pcx,pyruvate carboxylase,-1.967268304,6.312797129,-9.887696139,1.24E-07,9.53E-06,
14381,G6pdx,glucose-6-phosphate dehydrogenase X-linked,-1.446891502,5.489215312,-9.861529383,1.25E-07,9.57E-06,
56460,Pkp3,plakophilin 3,1.874041603,7.155544884,9.849004656,1.27E-07,9.66E-06,
12977,Csf1,colony stimulating factor 1 (macrophage),3.563469835,7.477590942,11.80142878,1.28E-07,9.71E-06,
244954,Prss35,"protease, serine 35",-6.725094346,-2.073757574,-9.92218193,1.32E-07,9.98E-06,
226499,BC003331,cDNA sequence BC003331,-1.545600383,5.192995564,-9.80118965,1.34E-07,1.01E-05,
100034251,Wfdc17,WAP four-disulfide core domain 17,-5.640783218,-0.553289067,-11.58372924,1.35E-07,1.01E-05,
75605,Kdm5b,lysine (K)-specific demethylase 5B,1.867531852,6.709685193,9.783407088,1.37E-07,1.02E-05,
16443,Itsn1,intersectin 1 (SH3 domain protein 1A),-1.566518763,6.117920438,-9.776972166,1.38E-07,1.02E-05,
217310,Hid1,HID1 domain containing,-1.612840178,5.060104887,-9.774331016,1.38E-07,1.02E-05,
26912,Gcat,glycine C-acetyltransferase (2-amino-3-ketobutyrate-coenzyme A ligase),-2.942924572,3.511031124,-9.767861212,1.40E-07,1.02E-05,
381925,Plpp4,phospholipid phosphatase 4,-5.756966425,-2.719510999,-9.839026087,1.40E-07,1.02E-05,interest
56838,Ccl28,chemokine (C-C motif) ligand 28,-3.415817505,0.97118049,-9.774342989,1.40E-07,1.02E-05,
66234,Msmo1,methylsterol monoxygenase 1,-2.343943393,4.591300913,-9.802293863,1.45E-07,1.05E-05,
20361,Sema7a,"sema domain, immunoglobulin domain (Ig), and GPI membrane anchor, (semaphorin) 7A",-3.755969541,3.321523136,-10.6015704,1.50E-07,1.08E-05,
77596,Adgrf1,adhesion G protein-coupled receptor F1,-2.115468241,0.956753658,-9.70072195,1.50E-07,1.08E-05,
50784,Plpp2,phospholipid phosphatase 2,1.850456167,5.704322284,9.700011299,1.50E-07,1.08E-05,
20608,Sstr4,somatostatin receptor 4,-7.081015327,-3.961452184,-9.80714651,1.53E-07,1.09E-05,
22330,Vcl,vinculin,1.986745554,8.702235769,9.750566286,1.55E-07,1.10E-05,
73598,1700001O22Rik,RIKEN cDNA 1700001O22 gene,-2.405413127,1.199234657,-9.661740041,1.58E-07,1.11E-05,
22029,Traf1,TNF receptor-associated factor 1,-3.780625178,2.0721933,-9.677606263,1.59E-07,1.11E-05,
16956,Lpl,lipoprotein lipase,-2.287720278,5.886389811,-10.14565407,1.70E-07,1.19E-05,
78339,Ttyh3,tweety family member 3,-1.826309881,6.513917583,-9.590763185,1.71E-07,1.19E-05,
64138,Ctsz,cathepsin Z,-1.474828153,6.65120366,-9.584545807,1.72E-07,1.19E-05,
68775,Atp6v1c2,"ATPase, H+ transporting, lysosomal V1 subunit C2",2.734985133,4.246927849,10.42149634,1.74E-07,1.20E-05,
214459,Fnbp1l,formin binding protein 1-like,1.596804063,6.999954835,9.562528683,1.77E-07,1.21E-05,
68585,Rtn4,reticulon 4,2.516483314,8.509185901,10.42940776,1.79E-07,1.23E-05,
